Одеська область               ,104.0000000000000000
Житомирська область           ,104.0000000000000000
Луганська область             ,108.5000000000000000
Черкаська область             ,119.0000000000000000
Запорізька область            ,126.5000000000000000
Миколаївська область          ,127.0000000000000000
Рівненська область            ,130.1666666666666667
Херсонська область            ,133.5000000000000000
Івано-Франківська область     ,134.0000000000000000
Донецька область              ,134.5000000000000000
Харківська область            ,135.2000000000000000
Львівська область             ,135.6000000000000000
Хмельницька область           ,138.0000000000000000
Чернігівська область          ,138.3333333333333333
м.Київ                        ,138.5000000000000000
Сумська область               ,141.0000000000000000
Тернопільська область         ,149.0000000000000000
Волинська область             ,150.6666666666666667
Дніпропетровська область      ,157.4285714285714286
Закарпатська область          ,159.0000000000000000
Київська область              ,159.5000000000000000
Полтавська область            ,161.0000000000000000
Вінницька область             ,164.0000000000000000
Кіровоградська область        ,171.0000000000000000
